file_name,label,bbox_xz,bbox_yz,bbox_xy,bbox_yy
/home/yzh/ssd_head_detector/dataset/holiwood/keyframes/mib-frame-63185.png,0,187.0,8.0,328.0,193.0
/home/yzh/ssd_head_detector/dataset/holiwood/keyframes/mib-frame-63185.png,0,135.0,27.0,172.0,84.0
/home/yzh/ssd_head_detector/dataset/holiwood/keyframes/Capote_FRENCH_DVDRiP_XViD-GeT-AW-frame-136881.png,0,204.8,10.0,306.0,167.0
/home/yzh/ssd_head_detector/dataset/holiwood/keyframes/_DivX-ITA__Casablanca_M_CURTIZ_1942_Bogart-bergman_-frame-107142.png,0,221.818,57.0,305.09090000000003,161.81799999999998
/home/yzh/ssd_head_detector/dataset/holiwood/keyframes/_DivX-ITA__Casablanca_M_CURTIZ_1942_Bogart-bergman_-frame-107142.png,0,133.714,82.5455,187.9983,153.8182
/home/yzh/ssd_head_detector/dataset/holiwood/keyframes/_DivX-ITA__Casablanca_M_CURTIZ_1942_Bogart-bergman_-frame-107142.png,0,340.0,87.0,403.9989,164.0
/home/yzh/ssd_head_detector/dataset/holiwood/keyframes/Double_Indemnity_1944_DVDRip_DivX-SChiZO-frame-131392.png,0,217.0,88.0,368.0,282.0
/home/yzh/ssd_head_detector/dataset/holiwood/keyframes/Jackie_Brown__DVDRip_dual_Spa-Eng__XviD-AC3-Mp3__by_TheDarkLord-frame-180753.png,0,263.2,114.0,272.4,127.2
/home/yzh/ssd_head_detector/dataset/holiwood/keyframes/ForrestGump-frame-37653.png,0,145.333,12.0,215.00029999999998,100.0
/home/yzh/ssd_head_detector/dataset/holiwood/keyframes/ForrestGump-frame-37653.png,0,337.0,74.2222,393.3333,135.0
/home/yzh/ssd_head_detector/dataset/holiwood/keyframes/ForrestGump-frame-37653.png,0,465.333,36.8889,515.0019,99.0
/home/yzh/ssd_head_detector/dataset/holiwood/keyframes/being_john_malkovich-frame-124674.png,0,408.0,56.5,477.0,127.0
/home/yzh/ssd_head_detector/dataset/holiwood/keyframes/Double_Indemnity_1944_DVDRip_DivX-SChiZO-frame-41147.png,0,238.0,22.0,396.66700000000003,211.003
/home/yzh/ssd_head_detector/dataset/holiwood/keyframes/Hitchcock_Alfred_-_Charade_-_Cary_Grant__Audrey_Hepburn_-_1963-frame-17641.png,0,235.333,111.333,372.66700000000003,272.0
/home/yzh/ssd_head_detector/dataset/holiwood/keyframes/American_beauty__1h56mn38s_-frame-53622.png,0,255.111,-81.1429,486.222,199.5571
/home/yzh/ssd_head_detector/dataset/holiwood/keyframes/Kids_1995-frame-42135.png,0,251.0,13.7143,396.571,143.9853
/home/yzh/ssd_head_detector/dataset/holiwood/keyframes/chasing_amy-frame-105732.png,0,74.2857,150.909,85.14290000000001,163.428
/home/yzh/ssd_head_detector/dataset/holiwood/keyframes/chasing_amy-frame-105732.png,0,52.0,106.909,62.9091,121.8182
/home/yzh/ssd_head_detector/dataset/holiwood/keyframes/The_Godfather_PART_1-frame-166642.png,0,33.0,11.6,160.0,144.4
/home/yzh/ssd_head_detector/dataset/holiwood/keyframes/The_Godfather_PART_1-frame-166642.png,0,162.0,121.0,269.2,216.8
/home/yzh/ssd_head_detector/dataset/holiwood/keyframes/Fight_Club-frame-97945.png,0,402.0,42.0,487.0,130.0
/home/yzh/ssd_head_detector/dataset/holiwood/keyframes/Fight_Club-frame-97945.png,0,203.0,34.0,283.0,128.0
/home/yzh/ssd_head_detector/dataset/holiwood/keyframes/Big_Lebowski_En-frame-148651.png,0,248.8,27.0,402.0,190.4
/home/yzh/ssd_head_detector/dataset/holiwood/keyframes/Big_Lebowski_En-frame-148651.png,0,457.0,-24.5714,665.143,180.7986
/home/yzh/ssd_head_detector/dataset/holiwood/keyframes/The_Cider_House_Rules_1999_DVDRiP_XviD-CuTTLe-frame-62122.png,0,151.111,30.2222,189.5402,78.1538
/home/yzh/ssd_head_detector/dataset/holiwood/keyframes/The_Cider_House_Rules_1999_DVDRiP_XviD-CuTTLe-frame-62122.png,0,237.846,118.462,245.84615,126.76895
/home/yzh/ssd_head_detector/dataset/holiwood/keyframes/The_Cider_House_Rules_1999_DVDRiP_XviD-CuTTLe-frame-62122.png,0,302.462,27.5556,346.6667,84.9231
/home/yzh/ssd_head_detector/dataset/holiwood/keyframes/The_Cider_House_Rules_1999_DVDRiP_XviD-CuTTLe-frame-62122.png,0,89.4286,219.714,104.5714,237.7156
/home/yzh/ssd_head_detector/dataset/holiwood/keyframes/Rear_Window-frame-37331.png,0,353.0,187.0,393.0,247.0
/home/yzh/ssd_head_detector/dataset/holiwood/keyframes/Fight_Club-frame-26549.png,0,242.5,25.5,371.5,203.0
/home/yzh/ssd_head_detector/dataset/holiwood/keyframes/mib-frame-6330.png,0,259.0,13.0,384.444,200.0
/home/yzh/ssd_head_detector/dataset/holiwood/keyframes/Kids_1995-frame-102334.png,0,283.0,5.14286,480.0,225.98786
/home/yzh/ssd_head_detector/dataset/holiwood/keyframes/Kids_1995-frame-102334.png,0,-37.3333,-38.667,153.3337,216.0
/home/yzh/ssd_head_detector/dataset/holiwood/keyframes/The_Godfather_PART_1-frame-231770.png,0,404.0,117.6,428.0,152.0
/home/yzh/ssd_head_detector/dataset/holiwood/keyframes/the_graduate__1967__english-frame-145017.png,0,445.143,46.0,577.5,196.571
/home/yzh/ssd_head_detector/dataset/holiwood/keyframes/The_Godfather_PART_1-frame-166710.png,0,110.8,118.0,194.0,216.0
/home/yzh/ssd_head_detector/dataset/holiwood/keyframes/The_Godfather_PART_1-frame-166710.png,0,420.0,-12.0,544.0,199.999
/home/yzh/ssd_head_detector/dataset/holiwood/keyframes/Little_Miss_Sunshine_2006_DvDrip_Eng_-aXXo-frame-101722.png,0,275.0,64.0,321.5,126.5
/home/yzh/ssd_head_detector/dataset/holiwood/keyframes/Little_Miss_Sunshine_2006_DvDrip_Eng_-aXXo-frame-101722.png,0,372.571,48.0,429.1428,121.5
/home/yzh/ssd_head_detector/dataset/holiwood/keyframes/American_beauty__1h56mn38s_-frame-140528.png,0,209.6,15.6,244.0,63.2
/home/yzh/ssd_head_detector/dataset/holiwood/keyframes/Kids_1995-frame-78626.png,0,134.0,61.3333,256.0,223.0063
/home/yzh/ssd_head_detector/dataset/holiwood/keyframes/Kids_1995-frame-78626.png,0,307.333,14.0,485.333,215.332
/home/yzh/ssd_head_detector/dataset/holiwood/keyframes/Light_Sleeper_1992_DVDRip_XViD-SOUTHSiDE__osloskop_net_-frame-14931.png,0,305.5,97.0,353.5,158.0
/home/yzh/ssd_head_detector/dataset/holiwood/keyframes/Light_Sleeper_1992_DVDRip_XViD-SOUTHSiDE__osloskop_net_-frame-14931.png,0,145.5,6.0,207.5,79.0
/home/yzh/ssd_head_detector/dataset/holiwood/keyframes/TheButterflyEffect-frame-34195.png,0,289.0,72.0,462.0,274.0
/home/yzh/ssd_head_detector/dataset/holiwood/keyframes/Rear_Window-frame-100305.png,0,104.0,8.0,348.0,446.0
/home/yzh/ssd_head_detector/dataset/holiwood/keyframes/Rear_Window-frame-100305.png,0,381.0,162.0,649.0,466.0
